nu, theta0, theta1, theta2, theta3, theta4, theta5, theta6, theta7, theta8, theta9, theta10, theta11, theta12, theta13, theta14, theta15, theta16, theta17, theta18, theta19, theta20, theta21, theta22, theta23, theta24, theta25, theta26, theta27, theta28, theta29, theta30, theta31, theta32, theta33, theta34, theta35, theta36, theta37, theta38, theta39, theta40, theta41, theta42, theta43, theta44, theta45, theta46, theta47, theta48, theta49, theta50, theta51, theta52, theta53, theta54, theta55, theta56, theta57, theta58, theta59, theta60, theta61, theta62, theta63, theta64, theta65, theta66, theta67, theta68, theta69, theta70, theta71, theta72, theta73, theta74, theta75, theta76, theta77, theta78, theta79, theta80, theta81, theta82, theta83, theta84, theta85, theta86, theta87, theta88, theta89, theta90, theta91, theta92, theta93, theta94, theta95, theta96, theta97, theta98, theta99
0,0.12098,0.14986,0.02606,0.29372,0.14280,0.28338,0.04848,0.03738,0.15119,-0.03836,0.15182,0.14093,0.23373,0.20329,0.09253,0.02567,0.30785,0.05865,0.03460,0.03200,0.25358,0.09135,0.06928,0.15985,0.12683,0.08116,0.22582,0.25839,0.25182,0.23140,0.19636,-0.02013,0.32571,0.19028,0.22214,0.27402,0.30700,0.20659,0.20933,0.10681,0.17093,0.08302,0.09718,0.08047,0.15480,0.27581,0.48840,0.19057,0.03700,0.29848,0.14195,0.10592,0.19283,0.04756,0.19355,0.16206,0.18024,0.20797,0.17592,0.17007,0.19605,0.20828,0.06263,0.02175,0.15750,0.01925,0.17008,0.25395,0.21950,0.05264,0.07007,0.18753,0.11316,0.12019,0.21011,0.05024,0.10740,0.06607,0.04034,0.05753,0.20959,0.14567,0.05124,0.11475,-0.02726,0.06209,0.34923,0.12416,0.20533,0.12466,0.16514,0.19583,0.01831,0.12502,0.28542,0.04749,0.07000,0.09555,0.15300,0.17845
0,0.18987,0.18341,0.24297,0.13526,0.11895,0.18174,0.20243,0.38364,0.21901,0.15582,0.14271,0.24661,0.21324,0.22638,0.04697,0.28382,0.23069,0.07092,0.09880,0.38519,0.15757,0.25946,0.36328,-0.09076,0.24851,0.13692,0.22581,0.25019,0.22682,0.28110,0.18185,0.35636,0.11437,0.09309,0.12463,0.39035,0.22584,0.10798,0.21507,0.32138,0.34538,0.26894,0.37990,0.33470,0.31293,0.28155,0.22451,0.29048,0.23993,0.15208,0.41938,0.33248,0.44464,0.21198,0.21333,0.38164,0.29097,0.37547,0.35683,0.34551,0.06590,0.42883,0.26011,0.17877,0.35304,0.34104,0.24640,0.04696,0.16434,0.27840,0.22321,0.08795,0.29866,0.17676,0.03589,0.31153,0.24169,0.24247,0.09542,0.16888,0.25169,0.16077,0.19072,0.21237,0.15291,0.17561,0.45553,0.25096,0.10374,0.13482,0.08710,0.02548,0.34667,0.00310,0.04921,0.25700,0.21418,0.27727,0.21271,0.21252
0,0.17024,0.23927,0.10618,0.16079,0.22823,0.21041,0.03593,0.10692,0.18400,0.11989,0.34033,0.12592,0.15158,0.24748,0.20649,0.16197,0.10405,0.21318,0.29039,0.23794,0.11585,0.37106,0.05651,0.04672,0.30490,0.23529,0.16163,0.11057,0.45633,0.23974,0.28517,0.26718,0.28242,0.29640,0.31896,0.21140,0.22282,0.08078,0.17959,0.28729,0.36705,0.32463,0.23263,0.14214,-0.00774,0.38648,0.21346,0.22838,0.28699,0.13364,0.23934,0.47654,0.32437,0.30915,0.11413,0.49566,0.12771,0.46069,0.05519,0.40526,0.42436,0.17774,0.29988,0.30963,0.17060,0.10401,0.11395,0.29649,0.23043,0.17896,0.32842,0.27884,0.14871,0.10031,0.26890,0.15895,0.21876,0.36262,0.25140,0.11116,0.20974,0.09476,0.34733,0.12687,0.20042,0.20727,0.18936,-0.02532,0.02315,0.12000,0.19481,0.14691,0.06300,0.02212,0.11527,0.10727,0.20432,0.11956,0.21186,0.09176
0,0.23433,0.08158,0.10147,0.07553,0.12889,0.12920,0.06842,0.16432,0.09627,-0.00815,0.16734,0.14666,0.17738,0.09001,0.22661,0.23036,0.20760,0.11805,0.14603,0.26246,0.24329,0.23313,0.19888,0.22046,0.28965,0.07406,0.37449,0.14034,0.13150,0.19153,0.30791,0.20540,0.17454,0.33393,0.18769,0.27698,0.27813,0.37579,0.49217,0.21839,0.03519,0.48211,0.20053,0.32480,0.24582,0.14906,0.22182,0.25257,0.31971,0.33206,0.31420,0.27880,0.19750,0.13672,0.34026,0.20788,0.28885,0.25181,0.22145,0.28388,0.31257,0.37909,0.28380,0.29613,0.37636,0.27436,0.28623,0.07247,0.24625,0.03471,0.24238,0.18878,0.26822,0.29642,0.26917,0.23196,0.18811,0.45821,0.21166,0.19374,0.10826,0.15590,0.26582,0.27422,0.09740,0.19958,-0.01362,0.16381,-0.01294,0.18850,0.17881,0.17707,0.25914,0.00493,0.25271,0.15190,0.22413,0.07189,0.22780,0.06585
0,0.42140,0.15508,0.16392,0.02763,0.14180,0.10216,0.12857,-0.00198,0.33734,0.02833,-0.11166,0.04817,0.10495,0.04858,0.27146,0.14584,0.16006,0.21638,0.18168,0.24861,0.03741,0.09117,0.21004,-0.11252,0.00089,0.18598,0.08531,0.22442,0.20922,0.00602,0.16406,0.24117,0.13342,0.01866,0.20216,0.17567,0.16438,0.17981,-0.19304,0.19284,0.28400,0.14542,0.11974,0.16896,0.13213,0.16263,0.09689,0.01952,-0.00464,-0.00427,-0.04183,-0.01122,0.27192,0.17160,0.03424,0.05841,0.10956,0.03376,0.10722,0.17952,0.09961,0.13834,0.19507,0.08100,0.13860,0.08119,0.11137,0.08394,0.06578,0.13837,0.18004,0.14046,0.17818,0.05702,0.01297,0.17758,0.20720,0.14593,0.27825,0.23669,0.41642,0.13067,0.05319,0.08133,0.10098,0.20723,-0.05418,0.29539,0.14140,0.14233,0.06063,0.15857,0.17261,0.16024,0.20735,0.11534,0.08543,0.23040,0.18583,0.19592
0,0.29073,0.28095,0.07137,0.04058,0.31969,0.03894,0.10071,0.37527,0.26806,0.29247,0.42699,0.17985,0.35175,0.21912,0.45173,-0.00914,0.29302,0.09288,0.31018,0.07527,0.22051,0.22713,0.10228,0.08634,0.21340,0.24261,0.25923,0.12092,0.28018,0.48182,0.25892,0.21342,0.43344,0.35173,0.20285,0.25358,0.45712,0.15224,0.38998,0.30388,0.41787,0.42917,0.40410,0.36986,0.52479,0.21254,0.35903,0.30768,0.28150,0.45503,0.39071,0.41124,0.47137,0.29784,0.45647,0.29081,0.39046,0.53133,0.33887,0.26978,0.46564,0.15736,0.44433,0.39252,0.09430,0.33081,0.36538,0.28862,0.25309,0.47772,0.51972,0.32877,0.38714,0.12714,0.48278,0.26872,0.27157,0.40413,0.42306,0.30851,0.35797,0.14364,0.11496,0.07348,0.16324,0.10823,0.21348,0.23834,0.26342,0.05987,0.18816,0.03475,0.15142,0.25851,0.38743,0.06606,0.23509,0.19469,0.30380,0.27490
0,0.02172,0.09512,0.13349,0.14500,0.22415,0.36281,0.30221,0.25407,0.12887,0.08925,0.12147,0.35589,0.19485,0.15626,0.18249,0.28325,0.06942,0.34210,0.21617,0.17879,0.24461,0.22207,0.16571,0.17476,0.11304,0.26546,0.14652,0.10399,0.21610,0.33233,0.19448,0.13841,0.23951,0.39270,0.05375,0.23708,0.21928,0.31485,0.29771,0.17988,0.03004,0.27909,0.11486,0.10366,0.31313,0.10717,0.33851,0.23179,0.23010,0.22891,0.03434,0.02054,0.21975,0.25501,0.20649,0.11611,0.20019,0.19013,0.10267,0.29983,0.02546,0.25743,0.23706,0.29967,0.09824,0.20900,0.41606,0.26524,0.20918,0.25313,0.20793,0.41850,0.29788,0.19105,0.22495,0.16074,0.32091,0.05942,0.03966,0.34610,0.41564,0.24726,0.21180,0.26634,0.13600,0.21791,0.20476,0.26360,0.04522,0.15038,0.28565,0.13365,0.10193,0.40552,0.20516,0.14349,0.03218,0.27437,0.27137,0.17159
0,0.17615,0.15837,0.15084,0.17586,0.29683,0.20388,0.15625,0.23017,0.33162,0.14388,0.19426,0.24047,0.27290,0.32967,0.17122,0.13656,0.23671,0.26976,0.23127,-0.04287,0.35489,0.20876,0.05875,0.17133,0.11491,0.29953,0.07107,0.03171,0.24144,0.16279,0.08698,0.05765,0.00990,0.35918,0.25976,0.10613,0.12112,0.20309,0.21924,0.17938,-0.07200,0.13013,0.22300,0.29075,0.11612,0.19550,0.09741,0.28454,0.10004,0.13786,0.20350,0.05188,0.29638,0.15607,0.16493,0.21156,0.00769,0.08920,0.20141,0.13153,0.19801,0.10111,0.35790,0.12908,0.14842,0.24971,0.21247,0.03391,-0.20781,0.22227,0.22432,0.05173,0.16127,0.27288,-0.01176,0.10019,0.26797,0.16676,0.17014,-0.00567,0.10438,0.06227,0.34487,0.23557,0.16295,0.11422,0.23498,0.08826,0.30709,0.24068,0.15576,0.04674,0.19662,0.05420,0.26369,0.17611,0.26602,0.19088,0.20911,0.25670
0,0.32352,0.15342,0.14965,0.08024,0.48567,0.14717,0.08983,0.13707,0.13727,0.18467,0.29074,0.17465,0.10819,0.05104,0.19381,0.19109,0.33491,0.18583,0.16128,0.06055,0.12931,0.11023,0.11114,0.04624,0.18995,0.11581,0.10396,-0.05345,0.16132,0.15474,0.01629,0.19351,-0.04755,0.08134,0.05118,-0.05844,0.08746,0.23419,0.06641,0.00933,0.09661,0.05907,0.04819,0.00010,0.18244,0.08383,-0.01637,0.02437,-0.03986,-0.02717,-0.03061,-0.07978,0.11195,0.00607,0.09191,-0.02882,0.03421,-0.02845,0.11738,0.02366,-0.02118,-0.10854,0.08721,-0.00690,0.06691,0.02411,0.17372,0.13794,0.13365,0.03289,0.14684,0.27752,0.02874,0.13518,-0.04093,0.26991,0.09633,0.22042,-0.02417,0.33383,0.12422,0.22018,0.18626,0.15104,0.35039,0.02203,0.22150,0.28724,0.19748,0.19266,0.19393,0.08885,0.21851,0.26873,0.22672,0.19469,0.17464,0.19701,0.35166,0.01779
0,0.29350,0.52532,0.20398,0.37657,0.40401,0.27719,0.21686,0.32548,0.40466,0.32901,0.39759,0.13884,0.43667,0.22470,0.16852,0.31575,0.34840,0.30091,0.33736,0.18401,0.30887,0.28005,0.20110,0.22434,0.16345,0.19052,0.35996,0.37055,0.17287,0.35164,0.50092,0.33509,0.10913,0.29480,0.19727,0.18474,0.28782,0.41551,0.35959,0.28794,0.33495,0.15939,0.47325,0.41536,0.41398,0.33423,0.43781,0.29967,0.34908,0.23896,0.18120,0.32090,0.31176,0.31686,0.40476,0.33982,0.20857,0.31169,0.25908,0.41576,0.26718,0.40126,0.06630,0.51496,0.25826,0.35738,0.29695,0.09478,0.13471,0.23799,0.17851,0.06042,0.28481,0.19742,0.23652,0.17071,0.22535,0.42854,0.33109,0.35367,0.27017,0.33131,0.20020,0.36143,0.14795,0.08628,0.16397,0.23102,0.15687,0.25213,0.07040,0.20391,0.28642,0.19099,0.16766,0.28609,0.36153,0.29487,0.21697,0.25444
0,0.32272,0.29423,-0.05938,0.31735,0.06236,0.32116,0.24069,0.37697,0.24952,0.17262,0.24869,0.37174,0.27091,0.25955,0.34820,0.29789,0.27942,0.41990,0.44220,0.35152,0.26518,0.44713,0.41948,0.37682,0.18712,0.32661,0.24198,0.30425,0.34792,0.33765,0.28378,0.46218,0.16878,0.41481,0.15932,0.38648,0.26255,0.44193,0.36544,0.38409,0.25983,0.29834,0.38646,0.42583,0.66190,0.39256,0.46895,0.21648,0.23978,0.33758,0.25351,0.52177,0.33175,0.51039,0.52002,0.37456,0.41917,0.36186,0.41958,0.41213,0.34929,0.40981,0.52916,0.42540,0.38382,0.36070,0.24380,0.23906,0.37072,0.19795,0.25467,0.45579,0.51534,0.15355,0.47902,0.29140,0.30723,0.29359,0.40922,0.13667,0.33940,0.19570,0.34377,0.43757,0.27997,0.31427,0.31480,0.19102,0.41945,0.43641,0.33360,0.26861,0.21315,0.19496,0.42718,0.39624,0.24737,0.09491,-0.03089,0.14361
0,0.42523,0.24689,0.27686,0.13927,0.22362,0.30917,0.49876,0.19449,0.32757,0.20107,0.06758,0.23512,0.25956,0.18031,0.21219,0.31059,0.37313,0.23797,0.17464,0.35142,0.21103,0.24241,0.29111,0.19911,0.38330,0.29887,0.19664,0.29937,0.41326,0.55668,0.36815,0.20048,0.21075,0.25981,0.14845,0.34693,0.37968,0.31295,0.29570,0.27007,0.20050,0.27534,0.41677,0.28194,0.27882,0.32146,0.24938,0.36734,0.44097,0.32490,0.49804,0.21686,0.24295,0.36036,0.44901,0.39365,0.37507,0.31741,0.42849,0.38968,0.31658,0.28242,0.41026,0.38532,0.11968,0.18102,0.29524,0.39559,0.31971,0.36405,0.24400,0.27490,0.44003,0.21374,0.24060,0.28016,0.41140,0.08880,0.31678,0.28140,0.13722,0.29197,0.42381,0.33035,0.40685,0.17987,0.33061,0.27127,0.21141,0.39855,0.24505,0.24908,0.17796,0.16182,0.25196,0.14236,0.30680,0.33955,0.22070,0.32075
0,0.25486,0.31941,0.19197,0.43966,0.19876,0.24619,0.17517,0.06107,0.45461,0.25395,0.22899,0.25326,0.41441,0.17516,0.33883,0.22766,0.20949,0.32495,0.36612,0.21493,0.18843,0.14739,0.37361,0.20468,0.07624,0.40108,0.12204,0.33591,0.27526,0.28467,0.19642,0.29042,0.08610,0.31074,0.40672,0.33854,0.04734,0.15008,0.22897,0.29574,0.23573,0.19647,0.30478,0.36119,0.22112,0.31688,-0.01421,0.14971,0.21117,0.19434,0.27644,0.34457,0.29396,0.18124,0.09142,0.29969,0.06053,0.31008,0.22641,0.12821,0.27512,0.24676,0.24409,0.24008,0.29125,0.34258,0.30068,0.35315,0.24847,0.41570,0.31197,0.20151,0.14753,0.27855,0.12837,0.16275,0.28506,0.20142,0.16993,0.26085,0.27259,0.24574,0.22954,0.35371,0.30340,0.24769,0.51731,0.29106,0.38563,0.21703,0.13749,0.19520,0.24812,0.22574,0.40946,0.26418,0.32263,0.27207,0.23353,0.28078
0,0.18301,0.36547,0.29349,0.48240,0.20921,0.30329,0.10938,0.27196,0.25800,0.35981,0.30412,0.36695,0.40006,0.24550,0.23023,0.47377,0.43402,0.36845,0.34327,0.34899,0.35210,0.28209,0.23317,0.35130,0.16529,0.41447,0.15064,0.26431,0.33550,0.25995,0.35024,0.38462,0.35598,0.34169,0.50404,0.26373,0.39844,0.36806,0.35463,0.44962,0.31431,0.38063,0.31057,0.32198,0.23678,0.40732,0.35001,0.33161,0.44474,0.54497,0.46278,0.31781,0.27138,0.27724,0.26744,0.63452,0.24522,0.34437,0.19109,0.36397,0.50734,0.28950,0.51803,0.19039,0.29970,0.50309,0.25599,0.31115,0.41634,0.39243,0.44526,0.26965,0.46658,0.38387,0.48149,0.27409,0.24492,0.30533,0.13170,0.52811,0.36282,0.28459,0.26831,0.29854,0.18578,0.11545,0.33564,0.34052,0.34725,0.25668,0.22041,0.17353,0.34723,0.31586,0.41451,0.28901,0.35230,0.39996,0.37789,0.22114
0,0.22956,0.28506,0.36597,0.24225,0.28124,0.49735,0.50106,0.43119,0.40256,0.20845,0.36349,0.27834,0.21058,0.26787,0.33282,0.26912,0.27151,0.40863,0.34678,0.35875,0.34969,0.27411,0.20784,0.37921,0.30074,0.15367,0.31879,0.25211,0.43446,0.41997,0.42067,0.30758,0.45027,0.41202,0.34191,0.34030,0.47751,0.34335,0.42341,0.49863,0.58819,0.56550,0.49087,0.25170,0.33470,0.34991,0.57095,0.33643,0.44549,0.41727,0.31378,0.44537,0.44671,0.28078,0.52793,0.19607,0.34453,0.49949,0.28147,0.43414,0.26762,0.38593,0.16167,0.30646,0.23395,0.34545,0.34138,0.31269,0.45691,0.28540,0.43442,0.53074,0.37850,0.27556,0.23311,0.28377,0.42191,0.36372,0.43858,0.41871,0.35259,0.38275,0.51790,0.47100,0.29631,0.42283,0.37983,0.43241,0.38360,0.21684,0.15026,0.36764,0.49896,0.22963,0.28708,0.20119,0.42163,0.07261,0.07625,0.33980
